File,No of assertions
C:\Users\sindh\College\scipy\test_quadratic_assignment.py,32
C:\Users\sindh\College\scipy\test_regression.py,3
C:\Users\sindh\College\scipy\test_slsqp.py,88
C:\Users\sindh\College\scipy\test_tnc.py,22
C:\Users\sindh\College\scipy\test_trustregion.py,17
C:\Users\sindh\College\scipy\test_trustregion_exact.py,22
C:\Users\sindh\College\scipy\test_trustregion_krylov.py,22
C:\Users\sindh\College\scipy\test_zeros.py,60
C:\Users\sindh\College\scipy\test__basinhopping.py,45
C:\Users\sindh\College\scipy\test__differential_evolution.py,191
C:\Users\sindh\College\scipy\test__dual_annealing.py,27
C:\Users\sindh\College\scipy\test__linprog_clean_inputs.py,104
C:\Users\sindh\College\scipy\test__numdiff.py,106
C:\Users\sindh\College\scipy\test__remove_redundancy.py,44
C:\Users\sindh\College\scipy\test__root.py,4
C:\Users\sindh\College\scipy\test__shgo.py,24
C:\Users\sindh\College\scipy\test__spectral.py,15
C:\Users\sindh\College\scipy\test_canonical_constraint.py,59
C:\Users\sindh\College\scipy\test_projections.py,22
C:\Users\sindh\College\scipy\test_qp_subproblem.py,127
C:\Users\sindh\College\scipy\test_report.py,0
C:\Users\sindh\College\scipy\test_array_tools.py,20
C:\Users\sindh\College\scipy\test_bsplines.py,22
C:\Users\sindh\College\scipy\test_cont2discrete.py,68
C:\Users\sindh\College\scipy\test_czt.py,22
C:\Users\sindh\College\scipy\test_dltisys.py,108
C:\Users\sindh\College\scipy\test_filter_design.py,650
C:\Users\sindh\College\scipy\test_fir_filter_design.py,115
C:\Users\sindh\College\scipy\test_ltisys.py,258
C:\Users\sindh\College\scipy\test_max_len_seq.py,10
C:\Users\sindh\College\scipy\test_peak_finding.py,128
C:\Users\sindh\College\scipy\test_result_type.py,10
C:\Users\sindh\College\scipy\test_savitzky_golay.py,43
C:\Users\sindh\College\scipy\test_signaltools.py,564
C:\Users\sindh\College\scipy\test_spectral.py,282
C:\Users\sindh\College\scipy\test_upfirdn.py,16
C:\Users\sindh\College\scipy\test_waveforms.py,41
C:\Users\sindh\College\scipy\test_wavelets.py,33
C:\Users\sindh\College\scipy\test_windows.py,137
C:\Users\sindh\College\scipy\test_connected_components.py,14
C:\Users\sindh\College\scipy\test_conversions.py,5
C:\Users\sindh\College\scipy\test_flow.py,11
C:\Users\sindh\College\scipy\test_graph_laplacian.py,6
C:\Users\sindh\College\scipy\test_matching.py,22
C:\Users\sindh\College\scipy\test_reordering.py,7
C:\Users\sindh\College\scipy\test_shortest_path.py,22
C:\Users\sindh\College\scipy\test_spanning_tree.py,5
C:\Users\sindh\College\scipy\test_traversal.py,4
C:\Users\sindh\College\scipy\test_expm_multiply.py,20
C:\Users\sindh\College\scipy\test_interface.py,117
C:\Users\sindh\College\scipy\test_matfuncs.py,52
C:\Users\sindh\College\scipy\test_norm.py,43
C:\Users\sindh\College\scipy\test_onenormest.py,22
C:\Users\sindh\College\scipy\test_propack.py,11
C:\Users\sindh\College\scipy\test_pydata_sparse.py,26
C:\Users\sindh\College\scipy\test_linsolve.py,80
C:\Users\sindh\College\scipy\test_arpack.py,34
C:\Users\sindh\College\scipy\test_lobpcg.py,22
C:\Users\sindh\College\scipy\test_svds.py,54
C:\Users\sindh\College\scipy\test_gcrotmk.py,24
C:\Users\sindh\College\scipy\test_iterative.py,61
C:\Users\sindh\College\scipy\test_lgmres.py,29
C:\Users\sindh\College\scipy\test_lsmr.py,4
C:\Users\sindh\College\scipy\test_lsqr.py,10
C:\Users\sindh\College\scipy\test_minres.py,9
C:\Users\sindh\College\scipy\test_utils.py,1
C:\Users\sindh\College\scipy\test_array_api.py,15
C:\Users\sindh\College\scipy\test_base.py,992
C:\Users\sindh\College\scipy\test_construct.py,96
C:\Users\sindh\College\scipy\test_csc.py,4
C:\Users\sindh\College\scipy\test_csr.py,6
C:\Users\sindh\College\scipy\test_extract.py,3
C:\Users\sindh\College\scipy\test_matrix_io.py,8
C:\Users\sindh\College\scipy\test_sparsetools.py,18
C:\Users\sindh\College\scipy\test_spfuncs.py,11
C:\Users\sindh\College\scipy\test_sputils.py,62
C:\Users\sindh\College\scipy\test_distance.py,292
